t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py,trial_index,stimulus_state,stimulus_angle_deg,stimulus_x,stimulus_y,fixation_x,fixation_y
1765400525.8452532,1.3930650267958666,-174.8679969155513,0.8408582423918936,0.5333333333333333,1,984,541,1172,540,6,center,,,,302,129
1765400525.975372,2.491788771475326,-175.68985272864435,0.45191973739716534,0.5434234234234234,1,984,540,1171,540,6,center,,,,302,129
1765400526.1113138,2.0468645164213064,-175.10765950008252,0.9287520081804376,0.5333333333333334,1,984,541,1171,541,6,center,,,,302,129
1765400526.2452962,1.882772586651413,-175.9204715684785,0.8748241322017983,0.554054054054054,0,987,539,1173,538,6,center,,,,302,129
1765400526.377578,3.6168768965719114,-175.32064432165103,0.801221006131165,0.5800000000000001,0,989,536,1173,537,6,center,,,,302,129
1765400526.512897,3.1850028920393614,-175.7407717051591,0.6457842004168958,0.5723684210526316,0,990,535,1174,535,6,center,,,,302,129
1765400526.641088,1.8775157160450457,-176.22087370691636,0.6511723765103266,0.562719298245614,0,990,535,1174,535,6,center,,,,302,129
1765400526.7780359,3.480368577036594,-175.8667439808185,0.3791604898145326,0.5421223513328777,0,985,533,1175,534,6,center,,,,302,129
1765400526.9131389,2.5182132101122794,-176.06442714782446,-0.13464773471169614,0.5714285714285714,0,989,534,1175,534,6,gap,,,,302,129
1765400527.0441148,3.2007730751515533,-175.76067490977138,0.7139464529663911,0.5454545454545454,0,985,532,1175,533,6,gap,,,,302,129
1765400527.176671,2.009171864890772,-175.7914472991605,0.5344260712202781,0.5592105263157895,0,989,533,1174,533,6,target,225.79962935313736,155,14,302,129
1765400527.31301,2.5938761255086944,-176.49361316367467,0.4230549249736584,0.5749316473000683,0,990,533,1177,533,6,target,225.79962935313736,155,14,302,129
1765400527.444303,3.5322656063079734,-176.4848871519964,0.46781888226656665,0.5592105263157895,0,991,535,1175,533,6,target,225.79962935313736,155,14,302,129
1765400527.57861,0.3970900213858302,-176.93087879852146,0.5249006460334443,0.5666666666666667,0,991,534,1177,533,6,target,225.79962935313736,155,14,302,129
1765400527.71529,0.0572360724218079,-176.06481082483776,0.31470732038776694,0.609561403508772,0,994,533,1183,532,6,target,225.79962935313736,155,14,302,129
1765400527.839604,0.6953827312643164,-177.01031293799883,0.10332793668225765,0.5714285714285714,0,996,532,1181,529,6,target,225.79962935313736,155,14,302,129
1765400527.9781718,-0.06241850493255055,-176.44341826894012,0.22885396686796444,0.5792207792207792,0,996,532,1181,529,6,target,225.79962935313736,155,14,302,129
1765400528.111903,0.7257849736267509,-176.42682559177453,-0.002457498729946308,0.575017088174983,0,995,532,1180,529,6,target,225.79962935313736,155,14,302,129
1765400528.247057,-0.1192357072237522,-176.41006782804314,0.14950155543230373,0.5844155844155844,0,995,532,1180,529,6,target,225.79962935313736,155,14,302,129
1765400528.375488,1.4449101121901329,-175.54200493295818,0.04440567672145496,0.6214114832535884,0,993,531,1187,527,6,target,225.79962935313736,155,14,302,129
1765400528.514961,1.7868509770485193,-176.61887877141817,-0.07441179928865864,0.602982456140351,0,993,532,1183,530,6,target,225.79962935313736,155,14,302,129
1765400528.6428642,2.1158599432184384,-176.25395984540393,0.0463825112524092,0.6230701754385966,0,993,532,1187,527,6,target,225.79962935313736,155,14,302,129
1765400528.780759,3.231728622091624,-175.78239997976289,0.1737023500613,0.6139781271360218,0,993,532,1185,528,7,center,,,,360,570
1765400528.9097311,0.5762449827533064,-176.64445229220334,0.2728889600413629,0.5885167464114832,0,992,532,1181,531,7,center,,,,360,570
1765400529.046603,2.4779630293934827,-176.1696616079436,0.31330119571455184,0.5855263157894737,0,993,532,1180,531,7,center,,,,360,570
1765400529.177516,1.2154112887694202,-176.50082318406666,0.40379082094414054,0.625,0,992,535,1186,535,7,center,,,,360,570
